"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","TOT","YR","A","1976",72.8,
"AUS","LIFEEXP","TOT","YR","A","1981",74.8,
"AUS","LIFEEXP","TOT","YR","A","1982",74.6,
"AUS","LIFEEXP","TOT","YR","A","1983",75.4,
"AUS","LIFEEXP","TOT","YR","A","1984",75.7,
"AUS","LIFEEXP","TOT","YR","A","1985",75.5,
"AUS","LIFEEXP","TOT","YR","A","1986",76,
"AUS","LIFEEXP","TOT","YR","A","1987",76.2,
"AUS","LIFEEXP","TOT","YR","A","1988",76.2,
"AUS","LIFEEXP","TOT","YR","A","1989",76.4,
"AUS","LIFEEXP","TOT","YR","A","1990",76.9,
"AUS","LIFEEXP","TOT","YR","A","1991",77.3,
"AUS","LIFEEXP","TOT","YR","A","1992",77.4,
"AUS","LIFEEXP","TOT","YR","A","1993",77.9,
"AUS","LIFEEXP","TOT","YR","A","1994",77.9,
"AUS","LIFEEXP","TOT","YR","A","1995",77.8,
"AUS","LIFEEXP","TOT","YR","A","1996",78.1,
"AUS","LIFEEXP","TOT","YR","A","1997",78.4,
"AUS","LIFEEXP","TOT","YR","A","1998",78.6,
"AUS","LIFEEXP","TOT","YR","A","1999",78.9,
"AUS","LIFEEXP","TOT","YR","A","2000",79.2,
"AUS","LIFEEXP","TOT","YR","A","2001",79.6,
"AUS","LIFEEXP","TOT","YR","A","2002",79.9,
"AUS","LIFEEXP","TOT","YR","A","2003",80.2,
"AUS","LIFEEXP","TOT","YR","A","2004",80.5,
"AUS","LIFEEXP","TOT","YR","A","2005",80.8,
"AUS","LIFEEXP","TOT","YR","A","2006",81,
"AUS","LIFEEXP","TOT","YR","A","2007",81.3,
"AUS","LIFEEXP","TOT","YR","A","2008",81.4,
"AUS","LIFEEXP","TOT","YR","A","2009",81.5,
"AUS","LIFEEXP","TOT","YR","A","2010",81.7,
"AUS","LIFEEXP","TOT","YR","A","2011",81.9,
"AUS","LIFEEXP","TOT","YR","A","2012",82,
"AUS","LIFEEXP","TOT","YR","A","2013",82.1,
"AUS","LIFEEXP","TOT","YR","A","2014",82.3,
"AUS","LIFEEXP","TOT","YR","A","2015",82.4,
"AUS","LIFEEXP","TOT","YR","A","2016",82.4,
"AUS","LIFEEXP","TOT","YR","A","2017",82.5,
"AUS","LIFEEXP","TOT","YR","A","2018",82.7,
"AUS","LIFEEXP","TOT","YR","A","2019",82.9,
"AUS","LIFEEXP","TOT","YR","A","2020",83.2,
"AUT","LIFEEXP","TOT","YR","A","1970",70.1,
"AUT","LIFEEXP","TOT","YR","A","1971",70.3,
"AUT","LIFEEXP","TOT","YR","A","1972",70.7,
"AUT","LIFEEXP","TOT","YR","A","1973",71.2,
"AUT","LIFEEXP","TOT","YR","A","1974",71.2,
"AUT","LIFEEXP","TOT","YR","A","1975",71.4,
"AUT","LIFEEXP","TOT","YR","A","1976",71.8,
"AUT","LIFEEXP","TOT","YR","A","1977",72.2,
"AUT","LIFEEXP","TOT","YR","A","1978",72.3,
"AUT","LIFEEXP","TOT","YR","A","1979",72.6,
"AUT","LIFEEXP","TOT","YR","A","1980",72.7,
"AUT","LIFEEXP","TOT","YR","A","1981",73,
"AUT","LIFEEXP","TOT","YR","A","1982",73.2,
"AUT","LIFEEXP","TOT","YR","A","1983",73.3,
"AUT","LIFEEXP","TOT","YR","A","1984",73.9,
"AUT","LIFEEXP","TOT","YR","A","1985",74.1,
"AUT","LIFEEXP","TOT","YR","A","1986",74.5,
"AUT","LIFEEXP","TOT","YR","A","1987",75,
"AUT","LIFEEXP","TOT","YR","A","1988",75.5,
"AUT","LIFEEXP","TOT","YR","A","1989",75.6,
"AUT","LIFEEXP","TOT","YR","A","1990",75.8,
"AUT","LIFEEXP","TOT","YR","A","1991",75.9,
"AUT","LIFEEXP","TOT","YR","A","1992",76.1,
"AUT","LIFEEXP","TOT","YR","A","1993",76.3,
"AUT","LIFEEXP","TOT","YR","A","1994",76.7,
"AUT","LIFEEXP","TOT","YR","A","1995",76.9,
"AUT","LIFEEXP","TOT","YR","A","1996",77.1,
"AUT","LIFEEXP","TOT","YR","A","1997",77.5,
"AUT","LIFEEXP","TOT","YR","A","1998",77.9,
"AUT","LIFEEXP","TOT","YR","A","1999",78.1,
"AUT","LIFEEXP","TOT","YR","A","2000",78.3,
"AUT","LIFEEXP","TOT","YR","A","2001",78.8,
"AUT","LIFEEXP","TOT","YR","A","2002",78.9,
"AUT","LIFEEXP","TOT","YR","A","2003",78.8,
"AUT","LIFEEXP","TOT","YR","A","2004",79.3,
"AUT","LIFEEXP","TOT","YR","A","2005",79.5,
"AUT","LIFEEXP","TOT","YR","A","2006",80.1,
"AUT","LIFEEXP","TOT","YR","A","2007",80.3,
"AUT","LIFEEXP","TOT","YR","A","2008",80.6,
"AUT","LIFEEXP","TOT","YR","A","2009",80.5,
"AUT","LIFEEXP","TOT","YR","A","2010",80.7,
"AUT","LIFEEXP","TOT","YR","A","2011",81.1,
"AUT","LIFEEXP","TOT","YR","A","2012",81.1,
"AUT","LIFEEXP","TOT","YR","A","2013",81.3,
"AUT","LIFEEXP","TOT","YR","A","2014",81.6,
"AUT","LIFEEXP","TOT","YR","A","2015",81.3,
"AUT","LIFEEXP","TOT","YR","A","2016",81.8,
"AUT","LIFEEXP","TOT","YR","A","2017",81.7,
"AUT","LIFEEXP","TOT","YR","A","2018",81.8,
"AUT","LIFEEXP","TOT","YR","A","2019",82,
"AUT","LIFEEXP","TOT","YR","A","2020",81.3,
"AUT","LIFEEXP","TOT","YR","A","2021",81.3,
"BEL","LIFEEXP","TOT","YR","A","1970",71,
"BEL","LIFEEXP","TOT","YR","A","1971",71.1,
"BEL","LIFEEXP","TOT","YR","A","1972",71.4,
"BEL","LIFEEXP","TOT","YR","A","1973",71.7,
"BEL","LIFEEXP","TOT","YR","A","1974",72,
"BEL","LIFEEXP","TOT","YR","A","1975",72,
"BEL","LIFEEXP","TOT","YR","A","1976",72.2,
"BEL","LIFEEXP","TOT","YR","A","1977",72.8,
"BEL","LIFEEXP","TOT","YR","A","1978",72.8,
"BEL","LIFEEXP","TOT","YR","A","1979",73.3,
"BEL","LIFEEXP","TOT","YR","A","1980",73.3,
"BEL","LIFEEXP","TOT","YR","A","1981",73.7,
"BEL","LIFEEXP","TOT","YR","A","1982",74,
"BEL","LIFEEXP","TOT","YR","A","1983",73.9,
"BEL","LIFEEXP","TOT","YR","A","1984",74.5,
"BEL","LIFEEXP","TOT","YR","A","1985",74.6,
"BEL","LIFEEXP","TOT","YR","A","1986",74.8,
"BEL","LIFEEXP","TOT","YR","A","1987",75.4,
"BEL","LIFEEXP","TOT","YR","A","1988",75.7,
"BEL","LIFEEXP","TOT","YR","A","1989",75.7,
"BEL","LIFEEXP","TOT","YR","A","1990",76.2,
